index,word1
0,obligatorischen
1,verfolgtn3
2,dialog
3,trisonomie
4,è
5,nachbarsländern
6,innovativen
7,klassengrössen
8,workingpoor
9,tagesmütter
10,alten
11,auslandabhängig
12,dabei
13,schief
14,vorurteile
15,mmn
16,unabsehbare
17,bauzonenerweiterungen
18,härtefalllösungen
19,seinihr
20,verträge
21,zweckmässigkeit
22,kenne
23,heimatland
24,öl
25,kämpft
26,geschlechtergetrennt
27,11
28,register
29,aufstieg
30,leistungsdruck
31,verstärkte
32,pränatale
33,eingebürgert
34,überführt
35,•
36,reintouristischen
37,drinliegen
38,gesundheitsgefährdenden
39,modernisiert
40,vorgeschriebenen
41,lebensbedrohliche
42,einzelbetreuung
43,unkontrolliert
44,kulturkreises
45,hochstehende
46,millionenklagen
47,impulsprogramm
48,umweltpolitischen
49,rücksichtslose
50,menschenwürdig
51,symbolpolitik
52,reguläre
53,angestrebte
54,plant
55,billateraleverträge
56,zügig
57,verbitterten
58,population
59,beziehende
60,zeche
61,unaufhörlich
62,bundesgesetzes
63,provitieren
64,grundgedanke
65,ausstiegsmechanismen
66,auferlegt
67,privatisiert
68,individualisierung
69,mäzen
70,forschungsergebnissen
71,davor
72,beamte
73,strommarktöffnung
74,trockenheit
75,entsprechender
76,anwendung
77,produktvielfalt
78,ernüchternd
79,muss
80,67
81,aufteilen
82,publik
83,beachte
84,verwaltung
85,ungeimpfte
86,eingeführt
87,wahrnimmt
88,ankurblung
89,tif
90,zahlungskräftige
91,spielregeln
92,vertrauensverhältnis
93,einträge
94,verzerrung
95,warist
96,völkerrecht
97,pkumwandlungssatz
98,mitbestimmen
99,tourismusregionen
100,instrumente
101,produktionsvolumen
102,erheischen
103,spät
104,sauren
105,buero
106,wirtschaftsgemeinschaft
107,kurzlebigere
108,zugeführt
109,elterliche
110,zweifelhaft
111,strassennetzes
112,assisitierten
113,landesinteressen
114,deutschhweiz
115,verantwortlichen
116,wiederkehrende
117,ultime
118,entrechteten
119,wohlerwogener
120,kinderwunsches
121,nachholbedarf
122,mais
123,aufhören
124,erkauft
125,starten
126,unschuldiger
127,entscheidend
128,lenkerinnen
129,herein
130,marginalsteuer
131,letzte
132,undemokratischen
133,senkung
134,bauland
135,verderben
136,vernetzt
137,gestrichen
138,abgesegnet
139,dienstalterszulagen
140,co2bilanz
141,„exit“
142,basics
143,existenzieller
144,gegenübernndas
145,entscheides
146,jedesfast
147,unverständnis
148,zentral
149,gleichwohl
150,etappen
151,gefügigen
152,führerscheins
153,zollstationen
154,positives
155,kürzt
156,lebensjahres
157,binnenland
158,vi
159,gemeinnützige
160,1992
161,nettorechnung
162,komplementäre
163,seuil
164,verschlungner
165,reden
166,definieren
167,ausserfamiläre
168,erklärt
169,sonntag
170,klarere
171,stellhebel
172,erfüllung
173,fokus
174,urlaubs
175,informationen
176,dazugehören
177,spitzenpositionen
178,vielfalt
179,arbeitsaufnahme
180,kantone
181,kapazitätserhöhung
182,kleintheater
183,gehandhabt
184,standortqualität
185,allmacht
186,jahrzehhnte
187,sexualstrafdelikte
188,modelle
189,stromlieferung
190,eingetragener
191,wahlgeheimnis
192,freiheit
193,wallis
194,ausnützen
195,immunerkrankungen
196,jene
197,verkehrspolitischer
198,sauberkeit
199,organisiertes
200,integrationswille
201,infolgedessen
202,eintritt
203,your
204,umweltschonende
205,quantitativ
206,adoptiert
207,bauvorschriften
208,55
209,zahlenden
210,global
211,fixfertig
212,ragbar
213,entwicklungsstörungen
214,sozialhilfefürsorge
215,administrativ
216,bussenterror
217,kostendeckung
218,79
219,schlage
220,stgaller
221,betrachten
222,quotenregelung
223,sozialismus
224,unnötiger
225,frischgebackene
226,bernardino
227,konträr
228,zeitepoche
229,jahresziele
230,spur
231,verschoben
232,emotionalen
233,missachtung
234,werdennwir
235,käme
236,privatisierungen
237,stromeffizienz
238,zwangsaustritt
239,angekoppelt
240,steuerhinterziehungen
241,jeweiligen
242,territorium
243,entzieht
244,bildungsauftrag
245,leistende
246,ebendiese
247,grossflöchigen
248,sponsoring
249,elternteiles
250,portugal
251,betriebsstützung
252,alphirte
253,zinsloser
254,dispens
255,kostenleistungsverhältnis
256,kvleistungen
257,gewinndenken
258,dijonprinzip
259,schlucken
260,eltenteile
261,pfeiler
262,durchlässiger
263,1'000
264,erhöhte
265,unterbreitet
266,umzug
267,hätten
268,geringes
269,gerechtnschwache
270,gegegenteil
271,verschleiss
272,übrigens
273,unverzüglich
274,nagen
275,energieerzeugungen
276,richtet
277,beurteilungskriterium
278,anregungen
279,stoffinhalte
280,vertiefte
281,nukleartechnik
282,lastet
283,endgültig
